size,threads,time_sec,operations
200,1,0.21813249588012695,8000000
200,2,0.09236788749694824,8000000
200,4,0.10972714424133301,8000000
200,8,0.08420085906982422,8000000
400,1,0.6104819774627686,64000000
400,2,0.4305381774902344,64000000
400,4,0.32597827911376953,64000000
400,8,0.30356836318969727,64000000
800,1,3.7898261547088623,512000000
800,2,2.80985426902771,512000000
800,4,2.196776866912842,512000000
800,8,1.8074803352355957,512000000
1200,1,11.35806918144226,1728000000
1200,2,6.735802412033081,1728000000
1200,4,4.473497629165649,1728000000
1200,8,3.3370702266693115,1728000000
1600,1,25.890108108520508,4096000000
1600,2,14.911798477172852,4096000000
1600,4,9.477644681930542,4096000000
1600,8,6.852782726287842,4096000000
2000,1,48.94528388977051,8000000000
2000,2,28.39896845817566,8000000000
2000,4,17.20445942878723,8000000000
2000,8,12.036645412445068,8000000000
