size,processes,time_sec,operations
200,1,0.8852713108062744,8000000
200,2,0.16500282287597656,8000000
200,4,0.19313502311706543,8000000
200,8,0.2920229434967041,8000000
400,1,0.30861330032348633,64000000
400,2,0.30433177947998047,64000000
400,4,0.3478868007659912,64000000
400,8,0.3589036464691162,64000000
800,1,1.1317212581634521,512000000
800,2,1.007561206817627,512000000
800,4,0.85565185546875,512000000
800,8,0.8901286125183105,512000000
1200,1,2.922508955001831,1728000000
1200,2,2.183661460876465,1728000000
1200,4,1.923846960067749,1728000000
1200,8,1.8590445518493652,1728000000
1600,1,5.946102619171143,4096000000
1600,2,5.272431373596191,4096000000
1600,4,4.406860113143921,4096000000
1600,8,3.875157356262207,4096000000
2000,1,10.635630130767822,8000000000
2000,2,8.827306985855103,8000000000
2000,4,7.771390199661255,8000000000
2000,8,5.7628583908081055,8000000000
